2017-04-07 11:53:03 -> 支付id：1,充值的游戏渠道：tmfyol_60168_308,支付ip地址：117.171.211.59,手机imei码：863904030111834;
2017-04-11 19:21:42 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：112.224.19.227,手机imei码：868026026060216;
2017-04-11 19:21:42 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：112.224.19.227,手机imei码：868026026060216;
2017-04-11 19:21:49 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：112.224.19.227,手机imei码：868026026060216;
2017-04-11 19:21:50 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：112.224.19.227,手机imei码：868026026060216;
2017-04-11 19:21:51 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：112.224.19.227,手机imei码：868026026060216;
2017-04-11 19:22:00 -> 支付id：1,充值的游戏渠道：zlcs_60147_283,支付ip地址：112.224.19.227,手机imei码：868026026060216;
2017-04-11 19:23:00 -> 支付id：1,充值的游戏渠道：jztl_60118_283,支付ip地址：39.183.143.172,手机imei码：864327033837776;
2017-04-11 19:23:22 -> 支付id：1,充值的游戏渠道：jztl_60118_283,支付ip地址：39.183.143.172,手机imei码：864327033837776;
2017-04-11 19:25:17 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：180.117.180.117,手机imei码：869410022279039;
2017-04-11 19:37:23 -> 支付id：1,充值的游戏渠道：qyxxc_60174_283,支付ip地址：49.92.178.30,手机imei码：A0000064024164;
2017-04-11 20:03:27 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：119.131.178.124,手机imei码：863388033942314;
2017-04-11 20:13:21 -> 支付id：1,充值的游戏渠道：jztl_60118_283,支付ip地址：39.158.94.76,手机imei码：86225503649715;
2017-04-11 20:34:02 -> 支付id：1,充值的游戏渠道：jztl_60118_168,支付ip地址：113.5.2.48,手机imei码：861079035325598;
2017-04-11 20:34:11 -> 支付id：1,充值的游戏渠道：jztl_60118_168,支付ip地址：113.5.2.48,手机imei码：861079035325598;
2017-04-11 20:39:51 -> 支付id：1,充值的游戏渠道：zlcs_60147_169,支付ip地址：115.214.66.23,手机imei码：862183038895158;
2017-04-11 20:39:51 -> 支付id：1,充值的游戏渠道：zlcs_60147_169,支付ip地址：115.214.66.23,手机imei码：862183038895158;
2017-04-11 20:40:09 -> 支付id：1,充值的游戏渠道：zlcs_60147_169,支付ip地址：115.214.66.23,手机imei码：862183038895158;
2017-04-11 20:40:10 -> 支付id：1,充值的游戏渠道：zlcs_60147_169,支付ip地址：115.214.66.23,手机imei码：862183038895158;
2017-04-11 20:44:24 -> 支付id：1,充值的游戏渠道：jztl_60118_169,支付ip地址：117.136.77.116,手机imei码：862963037093040;
2017-04-11 20:56:11 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：111.15.94.181,手机imei码：860709038805953;
2017-04-11 20:56:22 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：111.15.94.181,手机imei码：860709038805953;
2017-04-11 20:57:47 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：61.163.224.198,手机imei码：568476140989697;
2017-04-11 20:57:48 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：61.163.224.198,手机imei码：568476140989697;
2017-04-11 21:00:48 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：61.158.152.234,手机imei码：99000564249973;
2017-04-11 21:00:49 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：61.158.152.234,手机imei码：99000564249973;
2017-04-11 21:00:56 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：61.158.152.234,手机imei码：99000564249973;
2017-04-11 21:01:02 -> 支付id：1,充值的游戏渠道：szol_60153_306,支付ip地址：111.56.33.107,手机imei码：861735038750211;
2017-04-11 21:01:02 -> 支付id：1,充值的游戏渠道：szol_60153_306,支付ip地址：111.56.33.107,手机imei码：861735038750211;
2017-04-11 21:01:13 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：61.158.152.234,手机imei码：99000564249973;
2017-04-11 21:01:50 -> 支付id：1,充值的游戏渠道：zlcs_60147_304,支付ip地址：58.63.147.57,手机imei码：865473028809831;
2017-04-11 21:01:50 -> 支付id：1,充值的游戏渠道：zlcs_60147_304,支付ip地址：58.63.147.57,手机imei码：865473028809831;
2017-04-11 21:03:25 -> 支付id：1,充值的游戏渠道：zlcs_60147_304,支付ip地址：58.63.147.57,手机imei码：865473028809831;
2017-04-11 21:03:25 -> 支付id：1,充值的游戏渠道：zlcs_60147_304,支付ip地址：58.63.147.57,手机imei码：865473028809831;
2017-04-11 21:03:53 -> 支付id：1,充值的游戏渠道：zlcs_60147_304,支付ip地址：58.63.147.57,手机imei码：865473028809831;
2017-04-11 21:03:53 -> 支付id：1,充值的游戏渠道：zlcs_60147_304,支付ip地址：58.63.147.57,手机imei码：865473028809831;
2017-04-11 21:04:02 -> 支付id：1,充值的游戏渠道：zlcs_60147_304,支付ip地址：58.63.147.57,手机imei码：865473028809831;
2017-04-11 21:04:02 -> 支付id：1,充值的游戏渠道：zlcs_60147_304,支付ip地址：58.63.147.57,手机imei码：865473028809831;
2017-04-11 21:07:05 -> 支付id：1,充值的游戏渠道：zlcs_60147_304,支付ip地址：58.63.147.57,手机imei码：865473028809831;
2017-04-11 21:07:05 -> 支付id：1,充值的游戏渠道：zlcs_60147_304,支付ip地址：58.63.147.57,手机imei码：865473028809831;
2017-04-11 21:07:35 -> 支付id：1,充值的游戏渠道：zlcs_60147_304,支付ip地址：58.63.147.57,手机imei码：865473028809831;
2017-04-11 21:16:25 -> 支付id：1,充值的游戏渠道：jztl_60118_169,支付ip地址：112.227.112.23,手机imei码：861865030315414;
2017-04-11 21:29:45 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：120.234.130.186,手机imei码：862841035048705;
2017-04-11 21:33:55 -> 支付id：1,充值的游戏渠道：yhqj_60178_241,支付ip地址：120.7.188.36,手机imei码：868774027826297;
2017-04-11 22:04:25 -> 支付id：1,充值的游戏渠道：yhqj_60178_283,支付ip地址：106.46.177.150,手机imei码：868256022362320;
2017-04-11 22:04:42 -> 支付id：1,充值的游戏渠道：yhqj_60178_283,支付ip地址：106.46.177.150,手机imei码：868256022362320;
2017-04-11 22:24:39 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：117.92.4.106,手机imei码：862770035886733;
2017-04-11 22:35:48 -> 支付id：1,充值的游戏渠道：tmfyol_60168_241,支付ip地址：43.250.200.115,手机imei码：863196033606593;
2017-04-11 22:42:38 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：117.92.4.106,手机imei码：862770035886733;
2017-04-11 22:42:50 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：119.142.170.167,手机imei码：862970036261296;
2017-04-11 22:52:00 -> 支付id：1,充值的游戏渠道：tmfyol_60168_241,支付ip地址：43.250.200.115,手机imei码：863196033606593;
2017-04-11 22:52:57 -> 支付id：1,充值的游戏渠道：tmfyol_60168_241,支付ip地址：43.250.200.115,手机imei码：863196033606593;
2017-04-11 22:53:32 -> 支付id：1,充值的游戏渠道：tmfyol_60168_241,支付ip地址：43.250.200.115,手机imei码：863196033606593;
2017-04-11 22:54:32 -> 支付id：1,充值的游戏渠道：zlcs_60147_241,支付ip地址：117.150.172.87,手机imei码：862097037277533;
2017-04-11 22:54:32 -> 支付id：1,充值的游戏渠道：zlcs_60147_241,支付ip地址：117.150.172.87,手机imei码：862097037277533;
2017-04-11 22:56:30 -> 支付id：1,充值的游戏渠道：yhqj_60178_241,支付ip地址：115.148.96.210,手机imei码：867022023292689;
2017-04-11 23:05:51 -> 支付id：1,充值的游戏渠道：yhqj_60178_241,支付ip地址：115.148.96.210,手机imei码：867022023292689;
2017-04-11 23:06:25 -> 支付id：1,充值的游戏渠道：tmfyol_60168_283,支付ip地址：218.26.55.24,手机imei码：864241032643699;
2017-04-11 23:08:50 -> 支付id：1,充值的游戏渠道：zlcs_60147_169,支付ip地址：223.104.108.25,手机imei码：861337032475828;
2017-04-11 23:08:51 -> 支付id：1,充值的游戏渠道：zlcs_60147_169,支付ip地址：223.104.108.25,手机imei码：861337032475828;
2017-04-11 23:12:48 -> 支付id：1,充值的游戏渠道：szol_60153_283,支付ip地址：39.81.94.254,手机imei码：357141050011544;
2017-04-11 23:12:48 -> 支付id：1,充值的游戏渠道：szol_60153_283,支付ip地址：39.81.94.254,手机imei码：357141050011544;
2017-04-11 23:25:10 -> 支付id：1,充值的游戏渠道：zlcs_60147_241,支付ip地址：183.228.3.38,手机imei码：862331033350022;
2017-04-11 23:25:10 -> 支付id：1,充值的游戏渠道：zlcs_60147_241,支付ip地址：183.228.3.38,手机imei码：862331033350022;
2017-04-11 23:32:55 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：125.85.55.5,手机imei码：861579034898487;
2017-04-11 23:51:35 -> 支付id：1,充值的游戏渠道：jztl_60118_169,支付ip地址：183.205.29.67,手机imei码：86200703487353;
2017-04-12 00:22:45 -> 支付id：1,充值的游戏渠道：qyxxc_60174_168,支付ip地址：116.54.62.74,手机imei码：862142033684199;
2017-04-12 00:34:02 -> 支付id：1,充值的游戏渠道：zlcs_60147_169,支付ip地址：112.96.179.151,手机imei码：864430030270882;
2017-04-12 00:34:02 -> 支付id：1,充值的游戏渠道：zlcs_60147_169,支付ip地址：112.96.179.151,手机imei码：864430030270882;
2017-04-12 00:37:02 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：223.104.12.70,手机imei码：A100004E67C32A;
2017-04-12 00:37:33 -> 支付id：1,充值的游戏渠道：bzgl_60158_246,支付ip地址：27.155.38.127,手机imei码：862609037439457;
2017-04-12 00:47:14 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：36.108.192.215,手机imei码：861958036967450;
2017-04-12 00:57:46 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：116.30.122.206,手机imei码：869394022107228;
2017-04-12 00:57:46 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：116.30.122.206,手机imei码：869394022107228;
2017-04-12 00:58:11 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：116.30.122.203,手机imei码：869394022107228;
2017-04-12 01:00:50 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：119.190.206.31,手机imei码：868349024848360;
2017-04-12 01:16:46 -> 支付id：1,充值的游戏渠道：tmfyol_60168_308,支付ip地址：218.18.124.54,手机imei码：861948037265707;
2017-04-12 02:06:48 -> 支付id：1,充值的游戏渠道：szol_60153_290,支付ip地址：117.75.19.223,手机imei码：862813038901693;
2017-04-12 02:06:48 -> 支付id：1,充值的游戏渠道：szol_60153_290,支付ip地址：117.75.19.223,手机imei码：862813038901693;
2017-04-12 02:06:52 -> 支付id：1,充值的游戏渠道：szol_60153_290,支付ip地址：117.75.19.223,手机imei码：862813038901693;
2017-04-12 02:07:00 -> 支付id：1,充值的游戏渠道：szol_60153_290,支付ip地址：117.75.19.223,手机imei码：862813038901693;
2017-04-12 02:42:59 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：220.248.200.131,手机imei码：A1000058868B1B;
2017-04-12 02:57:11 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：103.238.42.190,手机imei码：860443038985470;
2017-04-12 03:20:15 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：59.42.29.134,手机imei码：868912023858696;
2017-04-12 03:20:36 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：59.42.29.134,手机imei码：868912023858696;
2017-04-12 03:21:52 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：59.42.29.134,手机imei码：868912023858696;
2017-04-12 03:34:34 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：110.81.187.199,手机imei码：861695032535168;
2017-04-12 03:43:15 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：110.81.187.199,手机imei码：861695032535168;
2017-04-12 04:27:48 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：110.81.187.199,手机imei码：861695032535168;
2017-04-12 04:43:26 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：110.81.187.199,手机imei码：861695032535168;
2017-04-12 05:18:44 -> 支付id：1,充值的游戏渠道：jztl_60118_169,支付ip地址：117.136.77.127,手机imei码：862963037093040;
2017-04-12 05:28:07 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：110.81.187.199,手机imei码：861695032535168;
2017-04-12 06:30:24 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：114.244.74.225,手机imei码：861751031373513;
2017-04-12 06:39:43 -> 支付id：1,充值的游戏渠道：jztl_60118_169,支付ip地址：101.18.27.252,手机imei码：869411025723569;
2017-04-12 06:42:30 -> 支付id：1,充值的游戏渠道：jztl_60118_169,支付ip地址：101.18.27.252,手机imei码：869411025723569;
2017-04-12 07:19:59 -> 支付id：1,充值的游戏渠道：qyxxc_60174_168,支付ip地址：223.104.24.97,手机imei码：860962035360585;
2017-04-12 07:32:13 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：110.81.187.199,手机imei码：861695032535168;
2017-04-12 07:36:12 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：110.81.187.199,手机imei码：861695032535168;
2017-04-12 09:06:43 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：223.104.4.252,手机imei码：863454039306241;
2017-04-12 09:06:47 -> 支付id：1,充值的游戏渠道：yhqj_60178_225,支付ip地址：223.104.4.252,手机imei码：863454039306241;
2017-04-12 09:09:30 -> 支付id：1,充值的游戏渠道：tmfyol_60168_283,支付ip地址：119.183.104.243,手机imei码：865586022336913;
2017-04-12 09:09:52 -> 支付id：1,充值的游戏渠道：tmfyol_60168_283,支付ip地址：119.183.104.243,手机imei码：865586022336913;
2017-04-12 10:02:12 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 10:14:52 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 10:15:44 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 10:17:24 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 10:17:49 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 10:18:32 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 10:19:59 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 10:26:49 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 10:32:01 -> 支付id：1,充值的游戏渠道：yhqj_60178_169,支付ip地址：180.117.180.117,手机imei码：869410022279039;
2017-04-12 10:49:15 -> 支付id：1,充值的游戏渠道：jztl_60118_305,支付ip地址：182.141.194.202,手机imei码：869801025184616;
2017-04-12 10:54:19 -> 支付id：1,充值的游戏渠道：bzgl_60158_246,支付ip地址：112.5.236.93,手机imei码：862966031279333;
2017-04-12 11:06:12 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 11:06:48 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 11:07:13 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：200.117.51.29,手机imei码：864251036101750;
2017-04-12 11:07:14 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：200.117.51.29,手机imei码：864251036101750;
2017-04-12 11:07:29 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：200.117.51.29,手机imei码：864251036101750;
2017-04-12 11:08:04 -> 支付id：1,充值的游戏渠道：zlcs_60147_168,支付ip地址：200.117.51.29,手机imei码：864251036101750;
2017-04-12 11:09:00 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：39.164.63.119,手机imei码：863209031690236;
2017-04-12 11:13:28 -> 支付id：1,充值的游戏渠道：jztl_60118_305,支付ip地址：182.141.194.202,手机imei码：869801025184616;
2017-04-12 11:14:53 -> 支付id：1,充值的游戏渠道：jztl_60118_305,支付ip地址：182.141.194.202,手机imei码：869801025184616;
2017-04-12 11:18:07 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：112.224.67.35,手机imei码：860440034718590;
2017-04-12 11:33:45 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：139.170.8.115,手机imei码：861868031993262;
2017-04-12 11:43:18 -> 支付id：1,充值的游戏渠道：frxxc_60194_292,支付ip地址：123.174.65.16,手机imei码：861269039000350;
2017-04-12 11:53:36 -> 支付id：1,充值的游戏渠道：frxxc_60194_292,支付ip地址：117.136.90.137,手机imei码：861269039000350;
2017-04-12 11:59:31 -> 支付id：1,充值的游戏渠道：jztl_60118_283,支付ip地址：111.59.81.29,手机imei码：862177035611261;
2017-04-12 11:59:56 -> 支付id：1,充值的游戏渠道：jztl_60118_283,支付ip地址：111.59.81.29,手机imei码：862177035611261;
2017-04-12 12:00:04 -> 支付id：1,充值的游戏渠道：jztl_60118_283,支付ip地址：111.59.81.29,手机imei码：862177035611261;
2017-04-12 12:35:46 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：144.0.146.203,手机imei码：869636024727167;
2017-04-12 12:35:46 -> 支付id：1,充值的游戏渠道：tmfyol_60168_168,支付ip地址：144.0.146.203,手机imei码：869636024727167;
2017-04-12 12:49:15 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：117.12.173.103,手机imei码：864252037830017;
2017-04-12 12:53:42 -> 支付id：1,充值的游戏渠道：mhsw_60137_308,支付ip地址：112.194.40.147,手机imei码：86274403033214;
2017-04-12 13:03:57 -> 支付id：1,充值的游戏渠道：bzgl_60158_246,支付ip地址：27.155.38.127,手机imei码：862609037439457;
2017-04-12 13:06:35 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:06:40 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:06:46 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:07:36 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:07:41 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:07:45 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:08:06 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:08:10 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:08:16 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:08:35 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:08:39 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:08:44 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:09:35 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:09:39 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:09:43 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:09:54 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:09:58 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:10:03 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:13:16 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:13:19 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:13:26 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:13:41 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:13:48 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:13:53 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:18:33 -> 支付id：1,充值的游戏渠道：default,支付ip地址：115.53.163.236,手机imei码：A100004801A786;
2017-04-12 13:18:33 -> 支付id：1,充值的游戏渠道：default,支付ip地址：115.53.163.236,手机imei码：A100004801A786;
2017-04-12 13:18:43 -> 支付id：1,充值的游戏渠道：default,支付ip地址：115.53.163.236,手机imei码：A100004801A786;
2017-04-12 13:19:10 -> 支付id：1,充值的游戏渠道：default,支付ip地址：115.53.163.236,手机imei码：A100004801A786;
2017-04-12 13:31:00 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:31:03 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:31:07 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:31:27 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:31:31 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:31:34 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:32:05 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:32:08 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:32:14 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:32:34 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:32:38 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:32:41 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:33:00 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:33:03 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:33:08 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 13:35:46 -> 支付id：1,充值的游戏渠道：jztl_60118_168,支付ip地址：113.5.2.89,手机imei码：861079035325598;
2017-04-12 13:36:48 -> 支付id：1,充值的游戏渠道：jztl_60118_168,支付ip地址：113.5.2.89,手机imei码：861079035325598;
2017-04-12 13:43:48 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：121.57.187.115,手机imei码：862658030368882;
2017-04-12 13:54:32 -> 支付id：1,充值的游戏渠道：yhqj_60178_304,支付ip地址：1.198.34.64,手机imei码：869435024785139;
2017-04-12 14:07:55 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：183.202.78.97,手机imei码：;
2017-04-12 14:11:43 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：121.57.187.115,手机imei码：862658030368882;
2017-04-12 14:14:01 -> 支付id：1,充值的游戏渠道：jztl_60118_257,支付ip地址：120.203.71.20,手机imei码：860443037226538;
2017-04-12 14:16:11 -> 支付id：1,充值的游戏渠道：jztl_60118_273,支付ip地址：113.242.46.139,手机imei码：862689030779554;
2017-04-12 14:19:08 -> 支付id：1,充值的游戏渠道：default,支付ip地址：113.90.222.108,手机imei码：865267025097295;
2017-04-12 14:19:36 -> 支付id：1,充值的游戏渠道：default,支付ip地址：113.90.222.108,手机imei码：865267025097295;
2017-04-12 14:20:03 -> 支付id：1,充值的游戏渠道：default,支付ip地址：113.90.222.108,手机imei码：865267025097295;
2017-04-12 14:20:20 -> 支付id：1,充值的游戏渠道：default,支付ip地址：113.90.222.108,手机imei码：865267025097295;
2017-04-12 14:20:45 -> 支付id：1,充值的游戏渠道：default,支付ip地址：113.90.222.108,手机imei码：865267025097295;
2017-04-12 14:40:44 -> 支付id：1,充值的游戏渠道：frxxc_60194_292,支付ip地址：123.174.65.16,手机imei码：861269039000350;
2017-04-12 14:48:33 -> 支付id：1,充值的游戏渠道：jztl_60118_273,支付ip地址：120.239.176.184,手机imei码：861189033226183;
2017-04-12 14:52:55 -> 支付id：1,充值的游戏渠道：jztl_60118_273,支付ip地址：112.224.20.17,手机imei码：863454038897372;
2017-04-12 15:09:53 -> 支付id：1,充值的游戏渠道：yhqj_60178_306,支付ip地址：118.212.190.38,手机imei码：863699031525632;
2017-04-12 15:13:52 -> 支付id：1,充值的游戏渠道：jztl_60118_168,支付ip地址：223.104.109.99,手机imei码：862020035212997;
2017-04-12 15:14:17 -> 支付id：1,充值的游戏渠道：yhqj_60178_306,支付ip地址：118.212.190.38,手机imei码：863699031525632;
2017-04-12 15:20:28 -> 支付id：1,充值的游戏渠道：tmfyol_60168_169,支付ip地址：112.97.60.187,手机imei码：866859022136735;
2017-04-12 15:29:29 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：117.136.79.134,手机imei码：869611022266856;
2017-04-12 15:57:24 -> 支付id：1,充值的游戏渠道：jztl_60118_121,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 15:58:38 -> 支付id：1,充值的游戏渠道：jztl_60118_257,支付ip地址：183.13.179.146,手机imei码：868064027327888;
2017-04-12 15:59:51 -> 支付id：1,充值的游戏渠道：jztl_60118_257,支付ip地址：120.203.71.20,手机imei码：862131131155251;
2017-04-12 16:04:39 -> 支付id：1,充值的游戏渠道：jztl_60118_257,支付ip地址：183.13.179.146,手机imei码：868064027327888;
2017-04-12 16:09:28 -> 支付id：1,充值的游戏渠道：tmfy,支付ip地址：183.13.179.146,手机imei码：860714234991953;
2017-04-12 16:14:44 -> 支付id：1,充值的游戏渠道：jztl_60118_304,支付ip地址：112.17.243.32,手机imei码：862758039396734;
2017-04-12 16:38:31 -> 支付id：1,充值的游戏渠道：jztl_60118_330,支付ip地址：117.136.0.155,手机imei码：861414039786828;
